#gene	sample1	sample2	sample3	sample4	sample5	sample6
PCBP1	737	554	758	1067	1576	1463
C2orf42	26	35	40	31	49	11
TIA1	51	81	35	99	59	25
PCYOX1	4055	5626	3503	6182	2810	4056
SNRPG	3147	1623	993	4316	8868	2895
FAM136A	2149	4309	2660	2590	7368	6806
TGFA	6174	8944	10402	6542	4053	7693
ADD2	29	55	76	72	38	79
FIGLA	10964	7716	4251	9534	5810	13150
CLEC4F	6994	4257	7740	12308	8258	4609
CD207	1350	1757	2780	2418	1567	2352
VAX2	1108	1506	1568	1059	1397	2637
ATP6V1B1	2203	2064	1771	2048	3129	1333
AC007040.11	1267	2778	2847	2533	3648	3166
ANKRD53	1820	1787	2499	3604	3106	5174
TEX261	268	274	73	526	253	157
NAGK	11203	7466	5597	7701	13010	16711
MCEE	1280	929	724	1704	605	2719
MPHOSPH10	747	859	844	1426	1146	1130
PAIP2B	3866	7002	2093	7714	7117	11552
ZNF638	4446	2789	5791	6566	6437	4339
DYSF	4374	5554	5387	7041	7227	8480
CYP26B1	60	47	89	132	77	126
EXOC6B	1944	1002	2160	3012	4847	5566
SPR	4145	1263	3983	2685	1971	2231
EMX1	5391	3567	2363	5162	4392	5591
SFXN5	15121	7228	7444	4329	7052	13798
RAB11FIP5	2250	3260	1920	1297	3688	3787
NOTO	737	875	577	1008	1037	901
SMYD5	4531	2345	4046	5843	5663	2744
PRADC1	505	323	607	803	348	310
CCT7	2979	3826	3448	7670	6532	6939
FBXO41	10406	4762	4449	5264	7442	3105
EGR4	2490	5334	2937	3255	6554	4152
ALMS1	404	936	382	825	999	422
NAT8	2631	2442	1992	2525	2092	2637
TPRKB	952	987	738	941	524	1387
DUSP11	1841	2280	2775	1930	1290	3314
C2orf78	1940	3045	925	2433	2815	4612
STAMBP	690	526	923	1952	440	655
ACTG2	826	1204	738	990	1114	2225
DGUOK	485	791	307	692	319	566
TET3	1095	1589	1354	2609	4192	1355
BOLA3	484	199	217	563	242	394
MOB1A	4966	14702	10845	7657	4452	9749
MTHFD2	4675	7803	5159	7204	4079	5758
RP11-287D1.3	9458	5313	4971	6303	8539	2841
SLC4A5	1825	1854	1884	3365	2441	2757
DCTN1	1365	2566	1309	1904	1977	2655
C2orf81	6388	13406	7853	8563	11775	12682
WDR54	6466	8656	5844	16480	5329	11579
RTKN	990	862	1147	1133	1906	906
INO80B	1750	1464	5747	4208	3342	1643
INO80B-WBP1	2901	1606	1294	2258	2366	3424
WBP1	4196	1514	6751	3392	6527	2639
MOGS	2620	2858	2223	1657	2292	4394
MRPL53	1877	1304	1054	1179	591	1306
CCDC142	1162	578	1279	3702	762	2206
TTC31	1136	474	335	705	1446	690
LBX2	764	1320	1218	1537	1369	1931
PCGF1	2654	1583	1448	978	1507	2734
TLX2	2102	955	1139	944	2291	2378
DQX1	2438	1598	2545	1922	1450	1279
AUP1	3902	539	2264	4286	3482	3922
HTRA2	1525	1624	1325	3179	1290	3513
LOXL3	6580	3745	3649	3832	9435	5445
DOK1	1014	1842	1088	2438	1436	971
M1AP	2640	6830	3158	4299	4420	5336
SEMA4F	170	243	243	169	204	429
HK2	722	517	449	1359	294	734
POLE4	1030	851	1072	1343	974	1576
TACR1	7296	5695	5137	6349	5685	4851
EVA1A	528	1755	3114	2587	2720	1814
MRPL19	966	2478	3158	2762	2778	2214
GCFC2	2051	3314	4177	5069	3287	7170
LRRTM4	3303	2649	3462	2092	4463	2966
REG3G	1924	1577	1159	4701	1651	2216
REG1B	223	367	160	290	367	375
REG1A	3208	6710	3496	3414	4205	7104
REG3A	2156	2187	2597	2542	4098	2585
CTNNA2	3791	3331	4691	6485	3480	3776
LRRTM1	224	348	267	585	805	483
SUCLG1	2005	1964	1147	3405	2428	2829
DNAH6	3815	2231	1115	2872	1063	1185
TRABD2A	929	1644	1184	1431	1376	981
AC022210.1	3296	1863	2412	2528	5261	2783
TMSB10	611	1109	303	340	897	827
KCMF1	459	1236	688	1686	1886	2221
TCF7L1	2769	4556	5263	5223	7795	7823
TGOLN2	9096	19224	9185	16103	5447	7462
RETSAT	778	874	343	853	747	1101
ELMOD3	486	358	179	315	450	472
CAPG	2592	2176	1256	1897	1616	5141
SH2D6	3916	6071	2217	11281	7053	15539
MAT2A	4956	4315	3999	5018	9341	9259
GGCX	1387	1624	2726	2911	2262	2649
VAMP8	518	278	615	826	887	1125
AC016753.1	1373	1794	1303	2142	583	1824
VAMP5	6141	1922	5665	2369	1804	7326
RNF181	1658	1582	2768	2391	3176	2389
TMEM150A	1674	1903	1049	2907	1930	4506
USP39	2728	2982	7479	1140	10255	8183
C2orf68	32	42	111	60	91	75
SFTPB	4481	6410	5109	5869	16219	9207
GNLY	297	1287	1146	3275	2110	1722
ATOH8	220	115	92	382	418	263
ST3GAL5	1385	2281	2254	3120	4185	2296
POLR1A	10043	2928	4226	9590	5711	12260
PTCD3	137	91	107	169	163	66
IMMT	1244	726	1559	1782	2019	1185
MRPL35	1761	847	1696	1120	667	1250
REEP1	771	1694	680	1042	1257	1016
KDM3A	5300	4351	2964	4734	5847	7690
CHMP3	216	414	417	541	157	293
RNF103-CHMP3	2261	910	2088	2868	7411	3001
RNF103	374	357	770	267	395	831
RMND5A	220	654	847	500	1124	883
CD8A	7903	7604	3760	2550	7587	3328
CD8B	2832	2694	2650	4093	2725	1785
RGPD1	124	267	231	201	143	122
PLGLB1	1771	2043	2144	4327	1642	2341
PLGLB2	1346	995	1637	1664	1789	1731
RGPD2	1035	699	1080	1415	2064	1166
KRCC1	3743	2731	2778	2899	1698	3494
SMYD1	2196	2638	2011	3640	3605	2741
FABP1	2331	483	1932	2284	759	507
THNSL2	1145	443	1413	1390	1177	2148
FOXI3	1045	1752	1805	4103	5476	3480
TEX37	3732	2699	2690	2725	5300	4065
EIF2AK3	2949	3737	3054	5005	3194	5984
RPIA	659	739	492	462	1255	649
RP11-407P15.2	1027	694	654	882	1059	1267
TEKT4	248	382	692	354	515	379
MAL	688	800	2254	1192	2706	1835
MRPS5	2838	933	871	3104	2049	1805
ZNF514	2144	5834	4283	3661	4587	6012
ZNF2	1895	1714	994	1384	1261	1314
AC092835.2	2185	2484	3691	2203	2583	3243
PROM2	4620	3772	6088	4210	5558	5150
KCNIP3	694	912	980	1911	505	1437
FAHD2A	6372	3054	1707	3962	7091	2866
TRIM43	5339	2450	6338	7693	2905	8710
ANKRD36C	2247	1188	2531	2219	1581	5138
GPAT2	4829	4350	2771	8447	3419	3933
ADRA2B	571	234	274	445	620	425
ASTL	2821	2410	2800	4577	2473	9867
DUSP2	6725	12434	6243	16076	6977	11005
STARD7	2108	1284	1449	2828	2231	2873
TMEM127	535	728	629	721	903	1159
CIAO1	6210	4237	5215	8738	15338	9632
SNRNP200	11968	6501	11477	14574	7602	5907
ITPRIPL1	927	1539	1842	2472	1238	2029
NCAPH	55	164	119	265	243	173
NEURL3	830	861	396	713	567	1219
ARID5A	1742	2117	1718	2330	2076	2448
KANSL3	10051	12298	7109	24049	15695	6999
FER1L5	1680	1036	1242	1555	719	681
LMAN2L	6747	8077	7927	7914	7087	7318
CNNM4	2063	4869	2195	2554	961	1509
CNNM3	296	137	356	239	285	414
ANKRD23	1522	1040	818	1754	2294	3041
ANKRD39	790	392	518	885	446	684
SEMA4C	2439	4435	3559	3135	2750	2675
FAM178B	760	1105	1543	1241	2455	2667
FAHD2B	353	1442	464	570	1346	772
ANKRD36	998	1626	1415	1921	1233	899
ANKRD36B	16	8	7	3	8	13
COX5B	549	341	490	1249	665	868
ACTR1B	2908	3999	7909	7721	8920	8100
LINC01125	4627	9801	7045	5635	9624	4950
ZAP70	5464	1358	5063	2542	2334	3906
TMEM131	1536	935	1526	1702	3811	1958
VWA3B	6850	10288	5704	13064	14408	17561
CNGA3	911	1039	708	739	946	679
INPP4A	2434	6200	1384	1939	1531	3862
COA5	27	34	25	15	49	31
UNC50	3388	2342	1492	2869	2183	4043
MGAT4A	1832	1270	2118	3069	2132	795
KIAA1211L	6381	4884	4650	2373	3674	5444
TSGA10	776	442	500	597	927	709
RP11-111H13.1	1114	994	1583	2537	2609	1206
C2orf15	40	98	31	102	23	129
LIPT1	9909	4571	6707	9820	6832	7110
RP11-38C17.1	703	2961	1081	2384	2705	648
MITD1	753	798	699	917	1311	612
MRPL30	1020	1750	4061	3643	3232	853
LYG2	3907	3061	7104	6135	1516	7547
LYG1	1558	555	861	530	668	542
TXNDC9	16744	6783	24163	5276	15691	15659
EIF5B	2222	742	905	2421	1536	555
REV1	646	388	106	447	490	576
AFF3	25	28	33	44	42	120
LONRF2	4646	3824	3242	3152	4532	3408
CHST10	1847	4276	4564	5765	6470	7654
NMS	1675	3586	2022	2216	891	2296
PDCL3	8232	7036	2781	8507	1980	6944
NPAS2	903	514	548	1274	1073	569
RPL31	3270	2492	3128	4589	4485	5793
TBC1D8	2687	1835	1982	3023	2634	1632
CNOT11	217	302	196	216	229	283
RNF149	206	363	121	171	336	244
CREG2	696	2200	1339	1151	1409	1593
RFX8	1179	1789	2320	1458	2474	2366
MAP4K4	5056	5156	5261	3469	6057	7556
IL1R2	690	994	379	1158	550	967
IL1R1	1542	4994	1638	4930	3243	2808
IL1RL2	148	78	62	81	53	77
IL1RL1	1345	622	1215	2420	2567	1175
IL18R1	712	322	978	525	445	210
IL18RAP	427	714	1129	1010	1233	742
SLC9A4	1121	1162	1120	1097	704	1106
SLC9A2	391	544	653	723	567	878
MFSD9	169	376	592	697	512	564
TMEM182	5644	5124	5217	3989	4436	3733
POU3F3	5092	7828	3104	6805	8539	7524
MRPS9	4163	1554	3219	2883	2129	2371
GPR45	1588	1759	1241	3153	1364	871
TGFBRAP1	7944	4672	2981	11744	5139	6796
C2orf49	349	262	175	459	282	265
FHL2	1843	4409	3921	4451	5872	5079
NCK2	1147	1657	1052	1094	1779	1427
C2orf40	2708	1936	2560	2564	4099	3882
UXS1	335	210	175	188	214	446
RGPD3	4882	724	1627	3692	1901	2770
ST6GAL2	252	460	563	699	887	373
RGPD4	3603	2992	1330	1854	5093	3907
SLC5A7	1479	1398	1041	1382	961	1310
SULT1C3	900	455	636	1615	850	1219
SULT1C2	4345	2144	3732	2106	1943	3216
SULT1C4	3734	1633	1988	1433	1546	3902
GCC2	328	314	418	752	473	314
LIMS1	681	543	753	698	795	1325
RANBP2	2655	1654	1744	2150	2360	1780
CCDC138	1459	2016	1660	1404	1460	772
EDAR	1205	1083	1058	1402	897	2912
SH3RF3	1335	374	2452	1087	2058	3390
AC109344.1	168	469	231	495	713	429
SEPT10	14191	11990	3040	12478	5662	5502
SOWAHC	1071	869	1717	1346	2753	1163
RGPD5	1822	1832	970	2368	1974	1853
LIMS3	6558	3638	4694	6710	6179	1639
MALL	1547	987	1171	1709	1492	1415
NPHP1	3128	2218	1072	2130	1848	2002
LINC00116	3145	3246	3970	3555	6978	2798
AC108938.5	915	802	1584	838	1455	1061
LIMS4	2265	4723	2090	10743	4951	4160
RGPD6	5506	4852	5656	1650	2494	3271
BUB1	1511	1732	1762	2541	2142	2333
ACOXL	18525	9295	7633	16914	7533	12584
BCL2L11	1362	1185	2966	1605	2063	1485
ANAPC1	1001	1222	864	831	1512	1074
MERTK	114	71	124	113	70	145
TMEM87B	457	188	147	273	491	125
FBLN7	4941	3499	5324	3687	2590	3103
ZC3H8	4029	1328	1020	1656	2342	2173
ZC3H6	3170	4081	1683	5212	1906	1795
RGPD8	316	837	658	729	875	1140
TTL	454	558	558	739	852	1072
POLR1B	534	462	542	1320	1162	756
CHCHD5	358	148	248	208	157	151
SLC20A1	10971	11974	8681	12518	16382	22479
NT5DC4	5961	3343	3009	6510	3533	4881
CKAP2L	3776	7068	7133	6299	3744	4250
IL1A	2163	1293	842	1085	2257	2025
IL1B	518	721	1137	784	659	954
IL37	198	251	47	340	216	174
IL36G	2413	2093	2525	2338	2448	2581
IL36A	4707	15474	9892	13405	32233	7482
IL36B	1362	1174	1010	1124	781	1341
IL36RN	1904	1778	467	1072	2334	2175
IL1F10	302	296	295	379	527	511
IL1RN	1102	1442	519	1313	1972	1132
PSD4	654	403	197	499	779	901
PAX8	1693	1241	1285	1841	2468	2345
CBWD2	5810	1857	2826	3773	2060	3355
FOXD4L1	2744	2511	4498	2449	3625	2467
RABL2A	2770	2453	4610	11244	7761	9791
SLC35F5	967	1108	833	2784	2832	2122
ACTR3	2051	4479	4604	7570	5528	2180
DPP10	1703	631	3300	1248	2351	3926
DDX18	2043	2733	1683	1565	3370	2989
CCDC93	319	219	176	240	490	134
INSIG2	3078	2817	3626	3836	3277	6205
EN1	2550	2700	2756	3134	1268	876
MARCO	6702	5641	4432	7792	7239	11058
C1QL2	3773	7835	3896	5897	5393	9952
STEAP3	753	785	974	1377	1600	2013
C2orf76	418	842	1208	1270	1536	1112
DBI	3181	3912	3715	1992	7794	5743
TMEM37	642	441	961	566	296	1725
SCTR	3056	1956	3711	2212	2572	6287
CFAP221	586	1088	1963	2189	1792	3191
TMEM177	7	9	2	6	8	17
PTPN4	4732	5010	4092	4774	6524	3355
EPB41L5	1031	797	681	625	859	830
TMEM185B	525	820	854	883	406	1820
RALB	985	443	612	591	862	864
AC012363.1	7394	7942	4795	4360	9669	5621
INHBB	2744	6068	1975	2610	3726	3472
GLI2	1434	831	1179	2027	2102	1314
TFCP2L1	3027	2229	5671	5035	1894	6177
CLASP1	35	28	37	30	36	57
NIFK	3269	9942	4251	14159	14851	10126
TSN	218	213	696	755	384	317
CNTNAP5	3361	7885	6156	5813	7564	6704
GYPC	437	740	544	506	870	256
AC114783.1	425	846	956	1607	1200	2154
BIN1	505	245	743	1428	1223	2226
CYP27C1	4770	3630	2075	3928	5597	3713
ERCC3	7002	5912	8037	1814	7995	7714
MAP3K2	33	39	157	89	55	84
PROC	4159	2281	5532	4959	3856	9903
IWS1	143	203	47	135	129	211
MYO7B	4682	3297	2273	2861	1518	3123
LIMS2	7266	9086	11975	9666	3654	9355
GPR17	1419	4848	7259	4658	4836	2833
WDR33	1096	497	191	295	366	909
SFT2D3	2884	4199	4612	6936	4500	5613
POLR2D	2992	5466	7845	3976	3247	4150
AMMECR1L	10877	13469	7526	14866	19729	12942
SAP130	4627	3534	1169	1947	1496	3758
UGGT1	8544	7816	5992	2594	15575	8155
HS6ST1	4772	5039	5796	5030	8687	8723
RAB6C	112	75	172	108	107	120
POTEF	675	1065	2735	2066	1517	950
CCDC74B	2034	2543	2359	2056	2719	3473
SMPD4	600	1520	598	1242	2717	1065
MZT2B	2928	2653	6606	5657	5887	8396
TUBA3E	2830	1130	2908	2824	2311	2863
CCDC115	212	191	207	88	255	222
IMP4	61	69	114	99	140	162
PTPN18	4772	6591	4238	4159	2055	13556
POTEI	1931	4105	2674	3167	3217	2229
CFC1B	12073	10452	8869	16881	14974	18782
AC013269.5	3721	4951	2049	1835	3620	1064
TISP43	393	271	618	882	901	1045
CFC1	8	1	1	9	23	10
POTEJ	413	228	362	585	727	406
GPR148	261	422	660	253	630	657
AMER3	294	761	516	962	928	678
ARHGEF4	6643	2477	3792	3467	6245	2718
FAM168B	17	35	21	31	42	43
PLEKHB2	95	83	56	49	155	110
POTEE	291	310	241	202	422	275
WTH3DI	1345	1741	1761	1707	790	2152
MZT2A	10526	15470	19873	5075	8719	15800
TUBA3D	2820	6270	6074	2641	3715	4125
CCDC74A	1345	1178	1348	1912	1309	1198
ANKRD30BL	841	1005	1353	2048	1024	1513
GPR39	2330	3717	2678	3011	2235	3573
LYPD1	2754	2665	3191	6482	5113	1425
NCKAP5	4200	1291	2594	2888	3146	866
MGAT5	4734	2886	2840	1240	4890	2438
TMEM163	2602	1102	1365	3717	3847	2396
ACMSD	621	475	197	575	398	178
CCNT2	3806	2696	2321	5224	3993	3048
MAP3K19	25	7	9	9	35	21
RAB3GAP1	1047	817	377	895	382	808
ZRANB3	5347	17061	4693	10178	11889	17660
R3HDM1	6298	5180	5274	8030	7337	7331
UBXN4	901	895	717	574	972	1506
LCT	1599	2122	2561	2956	2157	2306
MCM6	6357	7128	11074	19493	9652	10288
DARS	3920	3351	5225	4126	2186	2994
CXCR4	347	450	318	966	409	349
THSD7B	22564	15572	35179	34583	40324	10689
HNMT	3705	9130	5119	9774	7084	12442
SPOPL	198	193	287	416	289	413
NXPH2	975	1159	1677	648	1560	1528
LRP1B	56	75	47	89	99	88
KYNU	190	345	423	393	426	489
ARHGAP15	142	86	214	157	205	248
GTDC1	383	436	546	552	434	237
ZEB2	768	1518	656	362	699	915
ACVR2A	1868	3183	5496	3173	2772	5692
ORC4	648	682	331	287	1022	1394
MBD5	1253	919	794	672	1509	2180
EPC2	1465	377	1427	2984	2075	3632
KIF5C	80	102	183	205	62	117
LYPD6B	1303	3391	2323	1818	1437	2188
LYPD6	4959	2522	9229	2040	7799	2078
MMADHC	5115	8413	6399	5121	19749	4297
RND3	1672	3045	3147	2008	2194	2674
RBM43	4637	1515	2748	4760	5382	4812
NMI	1444	1518	1955	573	2737	1449
TNFAIP6	4230	10068	9564	13839	7759	5040
RIF1	6364	6804	10783	12375	16015	14745
NEB	5878	6305	6273	11014	6195	7942
ARL5A	3419	2739	4665	3539	1962	5408
CTD-2021K4.1	1702	2356	905	1007	2611	1233
CACNB4	10283	6031	3822	19318	6225	15440
STAM2	2308	2299	3054	3041	2805	4079
FMNL2	2043	3131	1560	3734	2087	3035
PRPF40A	2285	2357	4484	3105	4709	5256
ARL6IP6	129	26	95	67	65	49
RPRM	1624	1941	1770	2550	2140	3657
GALNT13	4723	6622	3370	3739	4190	4138
KCNJ3	416	736	318	551	998	862
NR4A2	760	837	422	1068	2130	709
GPD2	4807	5115	6103	9055	4316	7547
GALNT5	1549	2231	934	1924	1579	2673
ERMN	784	682	683	3193	1324	2034
CYTIP	2903	5510	5080	6489	7477	4381
ACVR1C	1559	2642	1369	1248	1449	1645
ACVR1	5036	11486	11170	15528	10777	15452
UPP2	3183	2058	1723	4151	1066	1564
CCDC148	789	919	509	900	1130	1399
PKP4	1140	811	334	2140	690	616
AC005042.1	4688	10525	9888	6217	9811	10529
DAPL1	9575	11143	6356	12687	12730	6480
TANC1	4059	10187	6248	5401	11280	10999
WDSUB1	3623	7277	5939	5502	5487	15343
BAZ2B	2028	1036	1591	1464	1500	1520
MARCH7	2169	1985	3653	1012	1107	1889
CD302	3506	2698	2378	3651	6513	2937
LY75-CD302	208	214	447	218	190	314
LY75	1339	1775	2442	3653	3304	2015
PLA2R1	1483	877	1187	1788	1846	2094
ITGB6	104	215	124	232	277	194
RBMS1	2312	3082	1853	2129	4603	3354
TANK	4368	1601	3412	3891	2298	3799
PSMD14	747	733	380	233	413	473
TBR1	2194	2525	1767	4447	5355	3886
SLC4A10	1090	1372	855	941	782	1278
DPP4	1048	1046	3738	1706	1672	1867
GCG	3409	3658	1810	2333	6085	4263
FAP	2802	2139	1044	3394	3191	2588
IFIH1	1385	995	745	852	1532	824
GCA	1289	1175	885	696	1199	1847
KCNH7	24	46	49	31	59	21
FIGN	957	1448	1284	1164	1926	1621
GRB14	385	1006	980	810	888	1600
COBLL1	198	455	268	346	646	557
SLC38A11	597	401	464	480	525	539
SCN3A	2343	2932	2033	2084	4377	6262
SCN2A	3338	2524	3163	3318	12944	1573
CSRNP3	6017	6084	5027	4153	9990	7646
GALNT3	7534	2539	4707	5466	14784	5731
TTC21B	968	2061	865	1465	2194	598
SCN1A	773	802	867	1226	3057	1890
SCN9A	7345	4615	3985	5948	14409	7166
SCN7A	1971	867	564	2475	811	3532
XIRP2	20	36	8	5	14	24
B3GALT1	20	93	129	87	100	70
STK39	461	505	542	812	430	374
CERS6	3437	2335	1511	1552	2236	1010
NOSTRIN	2971	3193	1379	2097	6614	3396
SPC25	1834	1408	834	1241	558	1182
G6PC2	351	632	671	949	614	532
ABCB11	2235	3067	2472	2522	1572	2527
DHRS9	581	537	1284	557	1969	1146
LRP2	4980	5453	4429	4703	5986	8824
BBS5	3872	5145	8848	8229	10035	4662
RP11-724O16.1	73	81	38	52	83	78
KLHL41	7610	3877	4135	7681	8898	3377
FASTKD1	5661	4773	3971	4933	3755	3139
PPIG	3146	4913	1953	4351	5263	3306
CCDC173	1849	1039	1938	2897	984	1243
PHOSPHO2	1927	377	1104	1321	1432	1308
KLHL23	3580	2910	4550	3707	6364	2369
SSB	1073	1453	743	1319	1193	2390
METTL5	497	736	540	710	578	901
UBR3	475	440	789	662	813	632
MYO3B	1376	3028	1860	1802	3177	2397
SP5	380	925	858	1445	695	1042
ERICH2	1	1	2	1	0	2
GAD1	425	589	189	454	398	389
GORASP2	646	1610	850	1604	944	1653
TLK1	419	628	320	215	410	307
METTL8	1690	1231	791	1847	175	1252
DCAF17	3069	5277	2123	4095	3857	3795
CYBRD1	1083	828	539	1349	945	851
DYNC1I2	1936	1891	3577	5050	2892	1940
SLC25A12	635	593	1558	1354	745	1177
HAT1	706	1007	774	1297	1024	1689
METAP1D	7136	2096	2080	2883	4280	3360
DLX1	3251	8636	11825	11084	11447	13348
DLX2	145	728	417	479	347	299
ITGA6	3146	3900	2940	6103	3650	2901
PDK1	3945	1877	2963	3867	2399	3965
RAPGEF4	6038	4432	5278	9008	5846	7576
AC013461.1	6722	3088	6637	1717	2765	4960
CDCA7	514	839	562	980	1177	599
SP3	87	75	92	165	142	236
OLA1	2084	1120	1654	2997	1732	1778
SP9	628	1322	801	1901	860	884
CIR1	1811	2413	1887	742	2082	2595
SCRN3	2689	7652	4366	7504	6024	1682
GPR155	6099	6237	4516	8007	5575	7173
WIPF1	1026	1025	478	729	1526	534
CHRNA1	2163	1167	1511	1291	2679	3168
CHN1	760	1173	781	1527	1147	1446
ATF2	454	962	742	863	655	393
ATP5G3	1887	1622	1725	1586	1853	4013
KIAA1715	2248	2608	2521	6283	5532	5978
EVX2	2370	2365	3663	3046	1941	2852
HOXD13	3538	5919	3983	3397	4501	4828
HOXD12	78	90	77	78	242	166
HOXD11	4433	4758	2149	3915	5722	4771
HOXD10	2400	7774	2289	7918	6597	6006
HOXD9	641	357	664	479	1027	438
HOXD8	574	1694	1449	1376	1446	2443
HOXD3	449	797	557	496	583	666
AC009336.19	4899	4662	3911	4131	4712	2695
HOXD4	704	1953	1208	1967	2271	2077
HOXD1	803	601	970	453	558	459
MTX2	586	405	576	436	368	420
HNRNPA3	261	313	219	830	223	651
NFE2L2	308	263	198	360	344	344
AGPS	2221	1180	3023	2208	3055	1437
TTC30B	601	638	1262	833	2099	581
TTC30A	4448	2314	1694	2956	3710	2375
PDE11A	8	14	17	20	7	14
RBM45	574	388	587	715	445	829
OSBPL6	1224	584	1042	3095	1795	2818
PRKRA	1492	3070	2552	6791	4826	3749
DFNB59	2633	2120	1817	1061	3283	3018
FKBP7	10790	6217	16487	5850	14106	13133
PLEKHA3	1735	3019	2668	1684	2496	3334
TTN	390	544	521	573	905	665
CCDC141	4443	2344	4214	2712	5316	2800
SESTD1	766	1341	956	814	1469	701
ZNF385B	2318	4351	3144	3577	6890	3619
CWC22	1393	1309	2038	1571	1388	823
UBE2E3	560	776	585	576	607	1036
ITGA4	4042	3300	693	2327	3197	2716
CERKL	2340	1800	2485	2185	3866	3360
NEUROD1	722	707	534	1432	1193	374
SSFA2	1041	2278	734	3577	2003	2942
PPP1R1C	786	1596	766	1174	391	800
PDE1A	230	167	123	214	271	233
DNAJC10	353	118	303	269	394	272
FRZB	815	1183	2019	1260	1921	1050
NCKAP1	1900	3447	4198	11121	4092	3338
DUSP19	2114	3037	8231	4695	4832	4466
NUP35	2292	6660	7219	3910	5283	7404
ZNF804A	2390	3453	1810	3966	6505	2400
FSIP2	1410	1229	2071	2557	2776	2079
ZC3H15	732	5346	2208	3071	2098	3335
AC018867.1	20841	8220	12607	14842	12655	18514
ITGAV	6259	3726	3848	10643	8454	11507
FAM171B	543	576	581	1147	841	845
ZSWIM2	878	356	543	1344	870	1035
CALCRL	804	439	511	1110	846	1051
TFPI	2126	3057	1877	2700	7646	3843
GULP1	257	132	57	103	186	261
DIRC1	1514	1110	1659	1671	3404	1287
COL3A1	279	376	302	405	247	308
COL5A2	754	877	1063	2302	2192	1117
WDR75	2688	3586	4340	3822	3388	3688
SLC40A1	1200	2079	3254	2012	3691	3925
ASNSD1	2921	2026	2432	2273	3375	1496
ANKAR	12085	16759	8008	11172	16218	15927
OSGEPL1	774	462	205	744	527	509
ORMDL1	7330	3556	8737	5556	7004	3314
PMS1	493	647	230	316	800	466
C2orf88	917	1468	983	1208	1920	872
MSTN	788	735	679	988	473	1575
HIBCH	1194	2659	1185	4454	1539	2731
INPP1	1416	1070	3069	3356	2001	1653
MFSD6	170	132	146	271	162	231
NEMP2	2811	3626	3000	6225	5893	5780
NAB1	568	887	158	332	803	779
GLS	8111	9024	5562	11563	12659	15814
STAT1	347	1443	659	930	808	707
STAT4	82	261	209	305	477	213
MYO1B	280	447	917	569	565	260
NABP1	2192	6140	11718	3976	3810	4790
SDPR	8781	3175	9759	8962	10686	8707
TMEFF2	179	126	235	453	330	311
SLC39A10	3087	625	2965	1742	3718	3394
DNAH7	7350	3574	3133	6366	6785	3897
STK17B	6917	4049	2885	8033	7695	4113
HECW2	864	997	1703	670	1262	2020
CCDC150	483	4574	1606	1867	1943	1474
GTF3C3	525	881	836	1059	1580	1904
C2orf66	6528	7275	4946	10628	7309	10341
PGAP1	2602	5092	4266	3619	3029	10764
ANKRD44	2370	1005	1540	2261	2944	3743
AC013264.1	265	200	276	227	434	327
SF3B1	399	894	1272	842	459	657
COQ10B	6434	7770	5443	2628	6130	4026
HSPD1	4633	3463	1759	5899	2700	3073
HSPE1	231	183	354	340	257	278
HSPE1-MOB4	591	1371	1273	2008	1142	1385
MOB4	1444	800	855	1062	297	1574
RFTN2	389	445	163	255	399	331
MARS2	4213	2694	2654	1907	3435	2100
BOLL	432	213	320	414	437	473
PLCL1	1072	2029	1544	914	1388	1532
SATB2	1510	2294	2133	998	2499	3372
FTCDNL1	546	365	493	581	482	866
C2orf69	601	537	490	953	564	399
TYW5	1416	920	884	1375	852	1035
C2orf47	710	914	811	1401	1004	1337
SPATS2L	1352	1255	1271	674	1024	2125
KCTD18	2322	2374	2313	3685	3981	8031
SGO2	281	321	254	272	388	460
AOX1	40	53	57	84	44	63
AC007163.1	729	903	952	315	720	385
BZW1	246	175	103	168	186	275
CLK1	490	440	378	415	469	1234
PPIL3	913	631	1025	1432	1323	1106
NIF3L1	483	211	513	324	307	896
ORC2	831	1309	909	2049	350	1377
FAM126B	295	460	159	733	261	639
NDUFB3	516	546	388	305	903	954
CFLAR	1872	2307	3418	2658	2846	4602
CASP10	1897	1391	2527	3201	2362	3463
CASP8	2499	4376	6516	8431	2636	3718
ALS2CR12	285	518	317	306	329	346
TRAK2	485	379	437	438	472	402
STRADB	731	1265	1285	3577	1335	1584
ALS2CR11	3287	1976	2061	4537	4583	1482
TMEM237	278	186	192	267	256	372
MPP4	2022	2087	932	1922	3353	1814
ALS2	243	297	112	193	445	124
CDK15	2407	3410	1210	2518	3625	4131
FZD7	886	965	1185	1364	1373	679
KIAA2012	3855	4641	1756	2238	3643	3677
SUMO1	2269	821	874	2259	1700	1597
NOP58	422	574	536	949	1102	575
BMPR2	5861	3529	5884	6681	6338	5408
FAM117B	108	83	97	29	57	38
ICA1L	1201	1285	561	1028	1470	1314
WDR12	212	144	180	281	123	126
CARF	2258	1450	2434	2975	3241	4291
NBEAL1	198	998	243	631	390	602
CYP20A1	59	56	58	71	62	49
ABI2	5240	3846	5792	4384	5966	4819
RAPH1	196	271	264	269	244	359
CD28	2780	4826	7367	6311	7671	3607
CTLA4	2975	3401	3617	3655	2318	2710
ICOS	436	1242	2248	1338	2360	1652
PARD3B	3899	2045	1125	2370	4980	2567
NRP2	4679	3937	5787	3994	5163	3192
INO80D	1896	3736	2579	2015	5629	4293
